FA/binder,CA/Binder,Binder (kg),% of SiO2,% of CaO,% of Al2O3,liquid/binder ratio,NaOH Molarity,Na2SiO3/  NaOH,Additional Water (%),SP (% of b),Curing temp (0 C),Age,Comp. Strength (Mpa),,
1.61,3.02,400.00,50.48,12.71,28.38,0.40,14.00,2.02,0.00,6.00,25.00,3.00,18.00,,
1.62,3.04,400.00,48.45,16.74,26.61,0.40,14.00,2.02,0.00,6.00,25.00,3.00,24.00,,
1.61,3.01,400.00,52.52,8.68,30.16,0.35,10.00,2.00,0.00,6.00,25.00,3.00,9.00,,
1.62,3.03,400.00,50.48,12.71,28.38,0.35,10.00,2.00,0.00,6.00,25.00,3.00,14.00,,
1.62,3.04,400.00,48.45,16.74,26.61,0.35,10.00,2.00,0.00,6.00,25.00,3.00,19.00,,
1.64,3.06,400.00,44.38,24.80,23.07,0.35,10.00,2.00,0.00,6.00,25.00,3.00,24.00,,
1.61,3.02,400.00,50.48,12.71,28.38,0.40,10.00,2.48,0.00,6.00,25.00,3.00,13.00,,
1.62,3.04,400.00,48.45,16.74,26.61,0.40,10.00,2.48,0.00,6.00,25.00,3.00,18.00,,
1.61,3.02,400.00,50.48,12.71,28.38,0.40,10.00,3.00,0.00,6.00,25.00,3.00,10.00,,
1.63,3.05,400.00,48.45,16.74,26.61,0.40,10.00,3.00,0.00,6.00,25.00,3.00,14.00,,
1.61,3.02,400.00,52.52,8.68,30.16,0.35,10.00,2.00,3.00,6.00,25.00,3.00,5.00,,
1.62,3.03,400.00,50.48,12.71,28.38,0.35,10.00,2.00,0.00,6.00,25.00,3.00,11.00,,
1.62,3.04,400.00,48.45,16.74,26.61,0.35,10.00,2.00,0.00,6.00,25.00,3.00,17.00,,
1.64,3.06,400.00,44.38,24.80,23.07,0.35,10.00,2.00,0.00,6.00,25.00,3.00,22.00,,
1.60,3.00,400.00,52.52,8.68,30.16,0.40,10.00,2.02,0.00,6.00,25.00,7.00,12.00,,
1.61,3.02,400.00,50.48,12.71,28.38,0.40,10.00,2.02,0.00,6.00,25.00,7.00,22.00,,
1.62,3.03,400.00,48.45,16.74,26.61,0.40,10.00,2.02,0.00,6.00,25.00,7.00,32.00,,
1.63,3.05,400.00,44.38,24.80,23.07,0.40,10.00,2.02,0.00,6.00,25.00,7.00,42.00,,
1.61,3.02,400.00,50.48,12.71,28.38,0.40,12.00,2.02,0.00,6.00,25.00,7.00,29.00,,
1.62,3.03,400.00,48.45,16.74,26.61,0.40,12.00,2.02,0.00,6.00,25.00,7.00,38.00,,
1.61,3.02,400.00,50.48,12.71,28.38,0.40,14.00,2.02,0.00,6.00,25.00,7.00,33.00,,
1.62,3.04,400.00,48.45,16.74,26.61,0.40,14.00,2.02,0.00,6.00,25.00,7.00,43.00,,
1.61,3.01,400.00,52.52,8.68,30.16,0.35,10.00,2.00,0.00,6.00,25.00,7.00,17.00,,
1.62,3.03,400.00,50.48,12.71,28.38,0.35,10.00,2.00,0.00,6.00,25.00,7.00,27.00,,
1.62,3.04,400.00,48.45,16.74,26.61,0.35,10.00,2.00,0.00,6.00,25.00,7.00,38.00,,
1.64,3.06,400.00,44.38,24.80,23.07,0.35,10.00,2.00,0.00,6.00,25.00,7.00,46.00,,
1.61,3.02,400.00,50.48,12.71,28.38,0.40,10.00,2.48,0.00,6.00,25.00,7.00,26.00,,
1.62,3.04,400.00,48.45,16.74,26.61,0.40,10.00,2.48,0.00,6.00,25.00,7.00,38.00,,
